quote_datetime,AAPL,AMZN,GLD,GOOGL,IWM,JPM,MSFT,NFLX,NVDA,QQQ,SPY,TLT,TSLA,V
2020-01-03 12:00:00,0.5417118473764742,0.5136166258865766,0.8874860127496493,0.6380795037732585,0.5200140547077297,0.2517343276237847,0.5077880558596785,0.49314480886971307,0.39383926934057567,0.48462924853560696,0.4782677181469687,0.8677182833806415,0.8665797561892796,0.5488533680408049
2020-01-06 12:00:00,0.41185567635137577,0.6445739217857673,0.8147746603971144,0.7873950711785922,0.5239743701608809,0.3000397717489649,0.28007334705227027,0.5258809244210902,0.45704782080473483,0.42525690434480684,0.375325542276788,0.5588920187265036,0.4011647478855151,0.20198335609550785
2020-01-07 12:00:00,0.5114687761290337,0.5704703655537751,0.6264123421569167,0.6015621103757081,0.45600695185781215,0.301836114118675,0.5400442691552078,0.5945799724136327,0.6926082219387462,0.6175859475208345,0.532025979767319,0.4000896580670108,0.7939907076623172,0.6772966523073762
2020-01-08 12:00:00,0.564450830697881,0.5083361426732906,0.18369287894017414,0.649487344548952,0.6195839467523538,0.6465461988937902,0.6611076982376825,0.7094332236877792,0.4644908479270031,0.6494882230654783,0.7032347061126216,0.1773384427953811,0.8314258552371455,0.762531289907117
2020-01-09 12:00:00,0.9524189641438495,0.5751130562347644,0.2373393393244074,0.6147601299165482,0.572379414935521,0.5476439370996589,0.8103107248286455,0.5783286530772566,0.6441876415215511,0.7355491769830125,0.6964646942984494,0.2716808697187323,0.4508087695094069,0.6839151850151131
2020-01-10 12:00:00,0.56476121924749,0.30471516359820094,0.7350900600227681,0.7171626942691017,0.27735994533886593,0.23334710951665294,0.5346438057770587,0.20425501456735634,0.6116180185599795,0.49238701017902436,0.46057870208743334,0.937768446128709,0.4263731924249006,0.5637942805300455
2020-01-13 12:00:00,0.6082634446904126,0.473571284910648,0.2248972633628696,0.5573913465334441,0.5904332976808669,0.45603095284617506,0.40994358463213,0.8472611620935251,0.7458015731899267,0.6145435636578992,0.5663624846171434,0.3112076277487345,0.9475955628060553,0.5573750536633546
2020-01-14 12:00:00,0.7628632042363714,0.2588574209656086,0.2436372532202361,0.5089792410699899,0.7057667175909115,0.941864188878788,0.6588370361881558,0.36883032651950265,0.30461899145298205,0.532595351819606,0.5782679901813781,0.7470820804268965,0.8531900330410064,0.6870572671008948
2020-01-15 12:00:00,0.25730727092090494,0.35854490544729595,0.7209067976470251,0.3881016724296269,0.6999104794936488,0.08349050308704285,0.5177477575610102,0.6364860709447582,0.2745562171298073,0.44892278979195754,0.5769527733583089,0.7476677164417727,0.4799493263138966,0.8603812356565651
2020-01-16 12:00:00,0.41130778683026975,0.5778966857960097,0.42563818178644974,0.6572744317122889,0.7678999161318967,0.6233283809886896,0.7524349008666497,0.28428520044158284,0.57504876346014,0.532353870009477,0.6920469528608082,0.40504694512077377,0.06773632899564999,0.7585166301624164
2020-01-17 12:00:00,0.733338821537328,0.382533803567806,0.6647075919128003,0.8150530161680978,0.5706998382482342,0.5298249482452105,0.6166299226828822,0.5342157136727552,0.4920257461143803,0.6854725652476958,0.8003419546099672,0.19022833310765533,0.6450130934351394,0.8898291047005906
2020-01-21 12:00:00,0.6635103583191706,0.5958901627173778,0.43837378151418205,0.7522892761020513,0.23141168757528816,0.44222383792023284,0.8203191296775781,0.3974104468764519,0.5116320914895827,0.6605275217247246,0.5323615438917709,0.858509150126141,0.9346085885593385,0.9497857563398426
2020-01-22 12:00:00,0.46872144679262984,0.708146609860117,0.41383164784368826,0.6422082620372942,0.41853177147052567,0.19468553526377289,0.20119577738027633,0.19847578945341085,0.6939363104227614,0.6339963925419252,0.42952739567474035,0.702796756609178,0.9683173535553937,0.6198640475968089
