Date,AAPL,AMZN,GLD,GOOGL,IWM,JPM,MSFT,NFLX,NVDA,QQQ,SPY,TLT,TSLA,V
2020-01-03,0.5410354619898652,0.512450017234868,0.8830992675858209,0.6408291340630232,0.5274244495638148,0.2539861859135324,0.5068608278494975,0.4944002097392563,0.39499177717409867,0.4902576831552283,0.48606493912154886,0.8811666012657371,0.8601739174095899,0.5559052595652296
2020-01-06,0.41294622724321467,0.6369667138250149,0.8015855778557167,0.7772448204192413,0.5314455748706048,0.30664042669032165,0.2873424170894711,0.5257442424128588,0.4593144723113781,0.43124304299079896,0.3880047228106637,0.5604581876796848,0.4013649901342547,0.21046243059120934
2020-01-07,0.5103196607742597,0.5635387384185556,0.6192574623074798,0.6009664333167111,0.463682486940215,0.313973577406337,0.5367178701104927,0.5865924972160996,0.6865437874177682,0.6215958797837483,0.537666951632103,0.4042218922237006,0.7885112453828285,0.6755951914979079
2020-01-08,0.5601415974775447,0.5062572520868777,0.21461868302010112,0.6413910152613354,0.6250454168894926,0.6365845471320961,0.6466910116895552,0.6836942571919264,0.46812916628469786,0.653822526071276,0.687841471847187,0.17632986358338498,0.8247080644391698,0.7543966571506362
2020-01-09,0.9419691664278758,0.5629317618811324,0.2586938377272798,0.6073387933309528,0.5788850730227368,0.5434292305890494,0.7825271903746105,0.5655513853653844,0.6346139023542048,0.740489952668618,0.6800483877727757,0.27056664464046504,0.45025080238313664,0.6785368265491364
2020-01-10,0.5610135909314149,0.3360220630090066,0.7287067725775507,0.6934906925884956,0.2883937002812416,0.27550681659363346,0.5296472365164242,0.25670607588893185,0.6025009356331571,0.4996782759563542,0.47784088273022124,0.9514132962460445,0.42608626464868266,0.5659497140028549
2020-01-13,0.6008453638803751,0.47760393553694863,0.24653760357537796,0.5548647604331072,0.5942071882516557,0.46646571739229525,0.4214334269610552,0.7911199196416843,0.7232411760073642,0.6220944147168114,0.5652144765488906,0.3193234639864452,0.9404840307203972,0.55907885478837
2020-01-14,0.745349358926376,0.3046654509179151,0.2584769993775798,0.5141983245090398,0.7041963889300715,0.901065936969002,0.6336978908179902,0.4022830377684923,0.3283028898513592,0.5407151612592518,0.5736340193245933,0.7459968544591669,0.8451096815799288,0.6723986881242492
2020-01-15,0.27473083258940534,0.3884742766239315,0.7215952515339067,0.41714978500083905,0.6998988134628039,0.1254677131466467,0.5136078512004416,0.6010501162508021,0.3021113008847174,0.45739624227445974,0.5717819245823492,0.7429832181142988,0.4788728311981159,0.8337451114888516
2020-01-16,0.4184926635815766,0.5580387358334059,0.4346915238866199,0.6302701954506418,0.7677359238733246,0.6095281675709826,0.7084029249838699,0.34585223258679154,0.5665240803239788,0.5402108321209785,0.6594780965151916,0.41331594728729243,0.07553884706152966,0.7392906677105758
