Date,G_PC_AAPL_1,G_PC_AAPL_2,G_PC_AAPL_3,G_PC_AMZN_1,G_PC_AMZN_2,G_PC_AMZN_3,G_PC_GLD_1,G_PC_GLD_2,G_PC_GLD_3,G_PC_GOOGL_1,G_PC_GOOGL_2,G_PC_GOOGL_3,G_PC_IWM_1,G_PC_IWM_2,G_PC_IWM_3,G_PC_JPM_1,G_PC_JPM_2,G_PC_JPM_3,G_PC_MSFT_1,G_PC_MSFT_2,G_PC_MSFT_3,G_PC_NFLX_1,G_PC_NFLX_2,G_PC_NFLX_3,G_PC_NVDA_1,G_PC_NVDA_2,G_PC_NVDA_3,G_PC_QQQ_1,G_PC_QQQ_2,G_PC_QQQ_3,G_PC_SPY_1,G_PC_SPY_2,G_PC_SPY_3,G_PC_TLT_1,G_PC_TLT_2,G_PC_TLT_3,G_PC_TSLA_1,G_PC_TSLA_2,G_PC_TSLA_3,G_PC_V_1,G_PC_V_2,G_PC_V_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_SPY_1,L_PC_SPY_2,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TSLA_1,L_PC_V_1,L_PC_V_2,L_PC_V_3
2020-02-04,0.18303475904844177,0.12533572583342859,0.3146966033511235,0.05359544830874755,0.04297560272993986,0.10507156982634572,0.08304311636564851,0.3017547663454557,0.029307578588020557,0.006357226709057107,0.00482398721496381,0.30391558675980124,0.21568885801090668,0.2527160307406282,0.5864056932517784,0.24482933511467878,0.2211549057866039,0.4722716930516798,0.6872803932038164,0.32081135352505397,0.9841103948607425,0.6885435531591437,0.5557679060252304,0.9530819525133268,0.46787792959884744,0.536450178287882,0.5895623871394704,0.2126329328203083,0.20982371175285147,0.957794314062566,0.4972434579861058,0.42462606994643814,0.9754737715430968,0.19058749254602114,0.35094249992056425,0.29208861494908206,0.9997305584607477,0.9984130449049495,0.9997802318571488,0.08443037194371225,0.06390257254061411,0.210897219124461,0.9776421339374501,0.000670532464109619,0.003481718829820413,0.9304343069133646,0.024003495234438,0.6974490125907378,0.0005625306128433816,3.133765588528847e-05,0.9889394063471438,0.0001644261487637966,0.9999599143901317,5.582599618126905e-05,0.9652717601360249,0.003830705983805094,0.9957936352569867,0.05567457964081107,0.9634705252751683,0.8178287697592925,0.9992842881323506,0.9990732539778477,0.0009722539868817215,0.9875517075758389,0.0004026397147844696,0.9999749691315318,0.9886690778201463,0.007209793577359969,0.00024131436847613097,0.9994019836559436,0.0005209347588544966,0.00012703844593121573,0.9414554787379231,0.7542003309977291,0.07159969372749203,5.5595577905220855e-05,0.9882645648879586,0.6173735383117794,0.993467701980439
2020-02-05,0.7838487300413011,0.7879248071718058,0.8590317142675855,0.9199270236045719,0.908935632205232,0.9756819357427149,0.7797514333719541,0.9117850442122577,0.7037294724446029,0.6786642489912827,0.6479192091398537,0.9188080615069635,0.5752108055336196,0.6674720276991113,0.8954978536342176,0.6972314714088929,0.7454473933652278,0.7401023304170746,0.9747016459816384,0.923199470209448,0.9966598506363168,0.8409431133663005,0.8902928953917104,0.9212385761037967,0.38959174170677113,0.38095041779446537,0.4590098314193879,0.7133229829887635,0.7720711228823298,0.8080472088772087,0.4418396271033107,0.4041216931145962,0.7962717044592119,0.33610132406314336,0.5866298607425309,0.5866744949372812,0.2674471863733142,0.9177298203041114,0.8517998166766932,0.8450950716825602,0.8387308882732546,0.8553830482104072,0.9147303487172669,0.12961306514794133,0.997083392485888,0.9453626849417958,0.003695900027250554,0.001631732023913457,0.05284816125929603,0.12438692155643725,0.9856978670301828,0.031844870175794425,0.827032538963002,0.4141161475877214,0.8924558709715247,0.8891181931145481,0.04147555734086142,0.8333308853284821,0.34687497453812277,0.1701193356181323,0.1640081271578579,0.9988713944535018,0.004433258573053922,0.8756466797031655,0.9153908889189122,0.9503695713894742,0.14207298494313142,0.1170563774636422,0.3639826362635912,0.19947938002991686,0.1064021111618773,0.0875740704413242,0.6344755369783746,0.23881886132753358,0.5214834444710783,0.9451166427592833,0.06179678420506263,0.18045292244456507,0.09899049887147535
2020-02-06,0.2774390314960824,0.27692643787508225,0.40240032697677164,0.4450811509869934,0.6384575708865531,0.7238463213664071,0.265903055089762,0.49428615023451195,0.5151393456065578,0.07955767204867147,0.04091646914983427,0.40713969337914047,0.3802654028619067,0.42373978194371587,0.6595782302432535,0.45696101149158663,0.4831172818036975,0.6661342844916416,0.7867626060957634,0.5422227000728324,0.99077734705614,0.2728168828418065,0.3732916805605524,0.6473800235585362,0.6423666781133756,0.7841164102043415,0.8020675551406798,0.6071104140759576,0.5356081188698659,0.9477289290894935,0.4482307822622593,0.4670340846191018,0.7556896307531076,0.4073024235816358,0.5325071651542715,0.5167717541669522,0.8966853391061965,0.982007727577425,0.959713145590263,0.29441980167422854,0.47950589700993895,0.4910860674142137,0.3196786386518871,0.1254608610270168,0.010556505248790505,0.09962271552911853,0.1604596491000958,0.07767110573614827,0.584022102736782,0.6653212248778897,0.09224121778940572,0.885565791294562,0.6484788421874587,0.07096828049105282,0.6716972289189432,0.0935091186418329,0.47983427418500535,0.2625760299704297,0.9061956945409921,0.6543539992559929,0.9310664094897889,0.9971889057853505,0.0030468698425442533,0.8008138267816735,0.36886689068063894,0.8127909788913,0.43886728958604027,0.019571639900895554,0.040304535297189005,0.9062798292452475,0.08363806360049209,0.360419643217872,0.7293244499286671,0.2494621986102327,0.09636099866963421,0.0036169035281369277,0.2536931220756614,0.4470896996835877,0.26909536912152565
2020-02-07,0.3602909256033413,0.3834705093265002,0.39487876150277734,0.862677914642039,0.8846727858754109,0.8974075870958528,0.32004070403121526,0.41416928940245223,0.6040294626686639,0.21926304496635252,0.1560467200333236,0.6155574504391753,0.43559369925186353,0.4426951000116057,0.43367926445774074,0.39699531359778417,0.4270630762691464,0.5618277704442446,0.5185238117066888,0.25846285071653996,0.7793421876633129,0.49401166636291893,0.4837772233789607,0.8959585667522283,0.6964511745239415,0.8591877144479058,0.8454420413564608,0.5641224860265209,0.5565324007496787,0.6567633724027707,0.46514570154090584,0.4396035568879362,0.6347124330916706,0.43542644642728534,0.636777657221364,0.42768020135676066,0.05617634411935788,0.7373007618020825,0.02956682981936869,0.3451716555504868,0.46987511057747167,0.43823650972402695,0.5920600041426723,0.25844767305531124,0.03412478076045541,0.1020659608301555,0.08331102982644499,0.02018840352349879,0.7018242737727042,0.5180189316301926,0.9649109481570828,0.6552914862417532,0.6687413287913252,0.08456126700813037,0.2950089129036911,0.4171725370099125,0.5746989822780572,0.2522345354417243,0.8467842274933057,0.25754912671694125,0.9514002854995068,0.814857822980446,0.0035287919827566294,0.8602926752960787,0.14548967437311333,0.9811265402376211,0.10518370228208035,0.02906739342671737,0.29450943949217256,0.7432050711269124,0.18455477576111706,0.3142278243534711,0.6060311363540531,0.5803370894133848,0.16892700056310905,0.9988800654825143,0.3750938790821834,0.44522645262522953,0.7323839508884377
2020-02-10,0.6013012306611368,0.5463971177830494,0.21346795712269181,0.7095491268261553,0.6461843153186884,0.8506423398334526,0.4057381565084879,0.31131253349636157,0.6375002328759969,0.3183872095334054,0.26014723157582065,0.356133441799262,0.23822261293459532,0.24662486297479738,0.12316396852308728,0.36433947690551105,0.3511220968408514,0.3744091658767934,0.8424613519665135,0.5902894307766433,0.9508587949801223,0.39068186880515876,0.3530044720683857,0.3998711705491963,0.6380310371276507,0.8126754835316817,0.7898013085671562,0.3758747198753697,0.27530340055917724,0.407055208160197,0.4952297867765034,0.6112074373071179,0.49856346359818393,0.6034476774927385,0.56819897610302,0.7905696957957786,0.5528954160331048,0.3492234815718101,0.49492377003922217,0.4665440818510579,0.3487683261989992,0.8503912423372311,0.0513919575819444,0.21759461593560336,0.03790652455688333,0.4921424273812668,0.033961300820802114,0.35067747629983403,0.635666754247232,0.8518014921801591,0.03455418538947097,0.14386093475521475,0.7828093661142639,0.6607132373438713,0.06854372484855265,0.6741804897591325,0.8643190720479227,0.12720480193058348,0.31349014232885597,0.29337530512000254,0.6202591815148024,0.9937896078390334,0.0036579511648692775,0.4755488803120824,0.1719530514841523,0.09360432792628398,0.06047016718995153,0.05194361058668311,0.5614811628650392,0.8658539680836386,0.7020981053391726,0.7721445073379484,0.11509056852415932,0.5507123326993371,0.9289908983897122,0.005886761938147179,0.3084981019354359,0.9911101050728509,0.9922701089956492
2020-02-11,0.26771104711537436,0.36667490248606427,0.20996002989231638,0.803891414187935,0.6454509931102552,0.8975705445848517,0.39049604588974596,0.5151993650503321,0.2670913873369214,0.45252227652730337,0.4543313677568128,0.6339489114527,0.3270498334260993,0.25588312034726046,0.5242964457845066,0.29375108196720984,0.28409018707031086,0.4352065923902151,0.7889169249525745,0.3257887660906263,0.8786062670607011,0.2268090474995966,0.2249713644623906,0.3170050247630579,0.3039306470708907,0.3399647179359887,0.390072598713326,0.5660087293187943,0.20972025426077065,0.5908642583565715,0.48516901531933876,0.44170098520568224,0.8441245441710163,0.29981238024705803,0.3612298848064541,0.4610923943464812,0.013158899308393946,0.0044433961059519465,0.011266720854162516,0.7713528765496837,0.5453077234888354,0.6566057670837586,0.1970548951842179,0.07218119506083448,0.04115977117874636,0.8335970058702221,0.020552484093285518,0.5717089235563965,0.09211833686757849,0.045734229428660504,0.4452844732915662,0.3445403238238339,0.7513072905885255,0.3414117325323448,0.8383865467824981,0.12246095617171097,0.6602121002730466,0.15369365933955886,0.615023084060277,0.4763249804474555,0.6910705254401373,0.9238387600191336,0.003183335291492906,0.3467083372227663,0.44473269674414195,0.32441814691039433,0.02939839794216366,0.44921878358006795,0.25358712163026775,0.8945828629030258,0.11729523463730868,0.1140057048852543,0.5581626512308618,0.6474753667618661,0.5743283198920933,0.7637469362416653,0.1311224592157182,0.17958415031563357,0.7998206932823088
2020-02-12,0.7703267014793531,0.857218649161902,0.8546602903051396,0.6939680593129958,0.7340121758213212,0.8390701185284276,0.7064353438589364,0.7168738858137941,0.8463924393291511,0.48473432457522436,0.7349584822188829,0.6073918698013969,0.7423090640938422,0.8407343230798289,0.8653752042622375,0.7002253331409435,0.7716105911916964,0.7847641546731122,0.7853056314803077,0.8518529086357329,0.7574481030165797,0.6964913717318104,0.7624505918700037,0.6491301834127547,0.24990509262442856,0.22831620725146642,0.7333417751537891,0.7807074415815722,0.9113311535264457,0.9057119510836806,0.6381853378526774,0.6015887544133093,0.8510860675169092,0.5311536971853864,0.6546687494455226,0.6930856439309445,0.30859467753423353,0.33077446429397905,0.023531238147770694,0.5611575429778299,0.7511620221872911,0.3861821345241413,0.8490269342777159,0.811688331547952,0.9956377581317144,0.878364688813258,0.5015256620091194,0.625137369706778,0.8450077706006431,0.5988972735335477,0.02637309885193472,0.25168867258768435,0.07854541755318672,0.43052251042036294,0.734030153764332,0.9362526951299476,0.052156262709355077,0.8546196678215789,0.16781718197311776,0.6959400007202219,0.35964689654225224,0.024359626043928707,0.9980721245008088,0.9055823779288881,0.8787665295581084,0.09593455702852549,0.9971648600474172,0.32971903186807605,0.2090579540099422,0.06439641609039452,0.11131019790382682,0.3996072961634338,0.45321322707880674,0.2420487095520923,0.4477115269561125,0.9985117373281442,0.3790613351136677,0.034709403475407366,0.021734813812727863
2020-02-13,0.3626350762330022,0.5181452265761043,0.7033618520248659,0.4225593505100682,0.4924052720569555,0.6056166013689355,0.6843944843259244,0.3374891434076194,0.8039011986950166,0.3120068797262314,0.4979764663574927,0.5620567266211411,0.35126073368073507,0.53595813278664,0.3652415172042307,0.522962936090144,0.6800861536799502,0.668362532395276,0.5347821080857236,0.6919869068827302,0.6971068094006241,0.6090844020235824,0.534998135086087,0.6303927489211266,0.8352823529131981,0.6179287273253516,0.9369336324098111,0.4847056719182369,0.6587186192133103,0.41533911967658166,0.10148245885593592,0.3609545633761899,0.36869111248342534,0.35568904193186757,0.34825556770748717,0.6409440314683488,0.6251172308847028,0.5954680954552962,0.6676860748545063,0.6790377639554769,0.7317735181942056,0.6447234741122653,0.7958115902842156,0.8303623497792905,0.24170721904138603,0.3615803234042725,0.4205824195369603,0.44168223916338434,0.7607560175526183,0.9080444117651706,0.6670904065575851,0.5050293712250432,0.24768530352316806,0.3792069293198145,0.3687832133118176,0.6121651149706092,0.38541085463049973,0.716361413160736,0.5925368489651912,0.39602901941381086,0.18261722705695624,0.46511214709738047,0.9941308762395313,0.750341381425479,0.6751941619667093,0.5864693154185449,0.9962317917211525,0.4701614849504797,0.4432134298106083,0.3504881540375694,0.8732708580374431,0.318607823829403,0.4550575707064576,0.5196013186310479,0.8955678451051242,0.5797625812442249,0.16997319236869662,0.23401021556374638,0.05911674978986389
2020-02-14,0.1893031209063456,0.44455871025549343,0.33353958506848125,0.07646073762692207,0.17481301564631696,0.08907042069903874,0.39916975389328,0.15212830792444254,0.7056475634121006,0.14459496985775525,0.33429843983051083,0.39306623157506215,0.28936784444297015,0.3472205894645012,0.5440131223210138,0.3093237813468349,0.460862076676095,0.5565089631374731,0.26221748245298115,0.5919874270858886,0.10649054889032232,0.17673764877868875,0.34050293146660743,0.28746226466729785,0.0026432138128245075,0.0012931421217210915,0.0029196054756229664,0.40216795089110746,0.5252793916492383,0.6050390281519509,0.313526595574355,0.3200489813182109,0.6697162686243577,0.24752928945622193,0.27372540339241813,0.3490065961967979,0.17721456623129844,0.04481933249598266,0.30094514956363394,0.260976495059164,0.20842749537520977,0.6035412621592672,0.23624091315342466,0.6908528087087924,0.8067877345124025,0.3236253885102581,0.8269410795951161,0.840306048400004,0.6323450808456673,0.4315630893945208,0.08100905427387924,0.5484931301092012,0.4400173850594645,0.764024494048368,0.3644662352058595,0.3327427450534144,0.5217054115618022,0.4346758876937089,0.5911051268806392,0.5995116406410601,0.01791567156108621,0.011701867541077694,0.9958406778937716,0.6360779780560761,0.7667097132863867,0.22606325705398966,0.08160231330093765,0.9899175315952519,0.48225840375341533,0.6078389679419425,0.36599634981926066,0.10192310782554583,0.7763045501471432,0.6519530929855069,0.27329577044376685,0.020555874722404166,0.591547097997453,0.9,0.9075209367158431
2020-02-18,0.5631395905936468,0.5094901721294061,0.2870309839087931,0.030199712566892935,0.015327408344272531,0.025137011573222946,0.5886973671834721,0.06472043288377928,0.7506574648238311,0.2881338489579607,0.3407795832847623,0.4210247838543988,0.5164903198819261,0.39343197683747333,0.15721027204158416,0.3894924448492916,0.31408332962691576,0.34493263106986927,0.1401567947583132,0.16323892950939367,0.07760395352892446,0.5025246682666776,0.38773822652184164,0.21247881503932853,0.7574741484891703,0.5685403210826528,0.729335750707317,0.5118023916687973,0.3798826329162085,0.15651259565377293,0.8045262424342778,0.8383889236635425,0.27330480336602037,0.5493987051612294,0.49668799244146977,0.487539670699908,0.4365013733466758,0.2015506716883252,0.6044879554438826,0.3974985383415053,0.11481726536763288,0.3880726166848403,0.11525734312689973,0.7894761658434961,0.46541764796532537,0.6759453024388803,0.9020255867360011,0.9906633749888109,0.9256295584401174,0.7220972755521253,0.2702643978479424,0.7217470593137013,0.5919860157281225,0.7748793524023159,0.30947253668630004,0.4596961122614879,0.8435173995775544,0.17262025767522815,0.2553452166425514,0.6330462819757006,0.22863064233676622,0.007309428929041107,0.6284517815915014,0.36778528747513894,0.50429855708286,0.33082696961055436,0.9965372086072919,0.6329359654798559,0.8028464033950115,0.6986965926534511,0.6940551975058455,0.9223606345490756,0.6621692507500263,0.679682896173543,0.3234260641211436,0.015401089318050842,0.7935349892496578,0.8424399302241602,0.9331146686585884
