Date,AAPL,AMZN,GLD,GOOGL,IWM,JPM,MSFT,NFLX,NVDA,QQQ,SPY,TLT,TSLA,V
2020-01-03,0.546054031709225,0.5180031015172719,0.9456144311929091,0.6953645881536331,0.5223177107535882,0.1947317548037128,0.5068072778722491,0.4983854955888255,0.3684627263394159,0.46779991663721276,0.461100764499323,0.9010058833477649,0.8951328173158002,0.5592516933496653
2020-01-06,0.3816430100781498,0.6851806097886277,0.8787506903954798,0.8534233204296282,0.5267565318850425,0.24895173188908779,0.22568151669210285,0.5525177406727226,0.45061034654629506,0.3986168360037956,0.3429994526367496,0.5564059670428287,0.3693561663216387,0.15757666323285147
2020-01-07,0.5077283591358447,0.5901520516095182,0.6680914849405761,0.6379109313515331,0.4471633612504734,0.2542509797642626,0.5480447819570373,0.6630538504148521,0.7368657146887304,0.6398107770282877,0.5314957987598181,0.3947871734686834,0.8335090183197305,0.7152263973781359
2020-01-08,0.5727014336582508,0.5108518530796557,0.14780344729794312,0.6915421238036609,0.6318265613906404,0.690668098804675,0.6915164752634579,0.8023455119764852,0.46124887851723706,0.676345460326434,0.7303029173673178,0.14604122499376104,0.8611999127511056,0.8076755950843455
2020-01-09,0.9738376543295437,0.5946267417167322,0.19517209434160693,0.6455195435211885,0.5785818717315199,0.56252085121513,0.8457082875996014,0.6097465331439147,0.6770964829653834,0.7742550438515601,0.7100831446690545,0.2479723395794297,0.43074225760398954,0.7137279565268464
2020-01-10,0.5688940169285668,0.2576419867996853,0.7974736402270265,0.7533528633335868,0.2635631454046289,0.20813905326140641,0.5374361267851747,0.1235911297732489,0.6364894959715837,0.4825417950105987,0.45467519644391285,0.9674329847674311,0.4006459172005883,0.5723355840983833
2020-01-13,0.6195505770493221,0.46639897999281943,0.18852696218252368,0.5707311874519339,0.5961060939437458,0.4491682334720063,0.3985487087299664,0.9018243256542533,0.775834391373745,0.6263990948153368,0.5632239280008706,0.3117685242471119,0.9606815804680402,0.5642076260465125
2020-01-14,0.7930688302985717,0.21511191771597243,0.20614820194269595,0.513834576296148,0.7152563887201754,0.9587829007638873,0.6717840396237854,0.3779669506431531,0.2805522290436401,0.5293452872800625,0.5727975495427741,0.7570161402714594,0.8667832145144261,0.7061163078584715
2020-01-15,0.23361213140453407,0.32384586860050724,0.778276490722031,0.38105184125960345,0.7047975612725751,0.0764236830900262,0.5167402175577112,0.6728293502416403,0.25132654284010103,0.4398922094000658,0.569694529051099,0.7540824897836431,0.46924224178098184,0.8829196657459886
2020-01-16,0.3946029097392272,0.5930234919227558,0.41539671209508267,0.6763298412631039,0.7721706049083796,0.6491554218881589,0.757224587467355,0.2374946129365865,0.5857411876819824,0.5297534118104322,0.6713993477688511,0.4078314633187067,0.05660170990417068,0.7765854510233182
2020-01-17,0.7564892317573257,0.35551068658153784,0.7090234523723788,0.828017434982476,0.5702981553945992,0.5377716394841241,0.6178428780573231,0.5485448673602885,0.49712463429139053,0.697837367968812,0.7698743132674537,0.17863188911758726,0.6732168396181571,0.9015580009808165
2020-01-21,0.6748623734280298,0.6119794416203664,0.43360649961126807,0.7636821081036042,0.24011053560947526,0.4388429162009797,0.8149756375083516,0.3759084062453498,0.5174639748892332,0.6677759560552535,0.5296569287071,0.8770330789825278,0.9401655296684496,0.9590142437343226
2020-01-22,0.4613045344740385,0.7356512795276083,0.4048180100544707,0.6526276233753574,0.41874310229893963,0.19306359722967925,0.20544181701041692,0.15725139363596063,0.6973556543063549,0.6370647031366438,0.44654508093524903,0.6966528070578708,0.968300260134346,0.6303756338283094
2020-01-23,0.34656231620591205,0.302164966208017,0.7415589360569886,0.38938768471796004,0.28797823590639815,0.23463670764120312,0.395666867065973,0.9255235847594302,0.3485203060799237,0.2788169227689487,0.14442892809517677,0.8991219437459946,0.19933100029938056,0.10132116523524495
2020-01-24,0.8673569409403723,0.3509249844858764,0.7703366804751021,0.27216520038885683,0.3014842410733617,0.20503113677307516,0.6281274925878519,0.7904349082890167,0.6709217990490923,0.5038027711237911,0.395547520548577,0.7756866271760019,0.3110040826778927,0.5376249206949938
2020-01-27,0.006041195382935883,0.07322617460338972,0.8060024361026416,0.02618765103062235,0.13780592541084993,0.12905159889663728,0.044222935572310273,0.1940497510085017,0.01774153112459579,0.013160537370021798,0.014077196769406886,0.9610213876814663,0.24653411813547668,0.05205871576955467
2020-01-28,0.9098816507252444,0.7063479651225707,0.10711074855051929,0.8790939714352303,0.7134233946998634,0.92391509918215,0.8774071709157399,0.8550121021278547,0.7961937925748584,0.8751200390252616,0.8295704123863684,0.17346939958146643,0.7197738647168719,0.6690104140095358
2020-01-29,0.9653154134140556,0.6801483396753921,0.5385479706304015,0.5370876202229473,0.40640253991833253,0.5969269837152674,0.7996851291078892,0.20773190732740504,0.3721427445049671,0.5723307566594753,0.5555153233505634,0.7923181637126118,0.7200717482796652,0.7047491720682376
2020-01-30,0.14682153778285334,0.3855017777251495,0.8183137811171568,0.2042728224775318,0.16664650082964994,0.20277294015491937,0.9712640453995148,0.3351683080528962,0.3557754346783074,0.25968119801703193,0.1439772637792941,0.8226670929234841,0.9939506978643302,0.6613299484021118
