Date,AAPL,AMZN,GLD,GOOGL,IWM,JPM,MSFT,NFLX,NVDA,QQQ,SPY,TLT,TSLA,V
2020-01-03,0.5411050771683169,0.5122261614527748,0.8922066746995301,0.6402897892532581,0.5266254569267761,0.2589031899161497,0.5067569279495892,0.49459550891398535,0.39602995977390837,0.49041473757577564,0.48631603890998326,0.8731801118136526,0.8576583483068929,0.5543497265478893
2020-01-06,0.41279851090689723,0.6346534291694346,0.8107201932735779,0.7780412629518266,0.5305447611123816,0.3106556308138501,0.29013587759185255,0.5247222551803787,0.45971842348790953,0.4323077458414551,0.3899212446834845,0.5585907521133798,0.40245786007280154,0.21664490071817474
2020-01-07,0.5103359168920631,0.5624151017620715,0.6238157184902288,0.6016714650971111,0.46470434827561297,0.31774708338632585,0.5361830147130711,0.5832834161725693,0.6848892267912037,0.6198291897747863,0.5370382098379949,0.40701429390138893,0.7860698989143848,0.6713297277003024
2020-01-08,0.560240092628088,0.5061438001516265,0.20654008639883759,0.6434692318155466,0.6217461989997972,0.633762993267493,0.6446813131629197,0.6772495019491162,0.46843840646634577,0.651656627740355,0.6850164007936292,0.18293060764146235,0.8222822361597243,0.7488204584727798
2020-01-09,0.9422080035091753,0.5618213306855265,0.25136037415353446,0.6095728725420424,0.5767784697697165,0.5424845355901029,0.7793673354118582,0.56300745913917,0.6333889941022983,0.7374646073243429,0.6772625579580097,0.2756220750607585,0.45078094616652603,0.6741117262026669
2020-01-10,0.561104811164581,0.33871844142518687,0.7356150875031965,0.6987369879537495,0.2933966368801366,0.279688672475647,0.5292114612701635,0.264482765914721,0.601557203705223,0.4996845281378583,0.4782204130316849,0.9478978259050898,0.4268597310831236,0.5641669270305909
2020-01-13,0.6009929452913225,0.47799634842113903,0.23969017329649114,0.5565272993190643,0.5919277436992016,0.467166274433073,0.42256589695884833,0.7828403676558938,0.7214446028789733,0.6204190787971882,0.5641462689629535,0.3223777007690588,0.9389704802420635,0.5574800454912492
2020-01-14,0.745653774731494,0.3077201297112492,0.25201626803642924,0.5142839199878387,0.6997562230255548,0.8971447899493666,0.6318622339971343,0.40593254957085373,0.32976144754429493,0.5401494843248837,0.5724505658575976,0.7424127393499081,0.8430174934555622,0.6680752418519669
2020-01-15,0.27444290910767494,0.3903400785214528,0.7275209909856846,0.4120899781270025,0.6955976060787032,0.12977553464788316,0.5134112025752673,0.5972648465995394,0.3036866211574376,0.4579716725412647,0.5706483866813081,0.7397050971132122,0.47906953195053514,0.8275968602940706
2020-01-16,0.4183771436413268,0.5570470226665906,0.4327956419957145,0.6371601348782907,0.7626301615352884,0.6075039907043579,0.7057788640856717,0.3513383741565078,0.5659581810101701,0.5396974534038,0.6571554057086857,0.4145586133997855,0.07706362387246335,0.7336966691280724
