Date,G_PC_1,G_PC_2,G_PC_3,L_PC_AAPL_1,L_PC_AAPL_2,L_PC_AAPL_3,L_PC_AMZN_1,L_PC_AMZN_2,L_PC_AMZN_3,L_PC_GLD_1,L_PC_GLD_2,L_PC_GLD_3,L_PC_GOOGL_1,L_PC_GOOGL_2,L_PC_GOOGL_3,L_PC_GOOGL_4,L_PC_IWM_1,L_PC_IWM_2,L_PC_IWM_3,L_PC_JPM_1,L_PC_JPM_2,L_PC_JPM_3,L_PC_MSFT_1,L_PC_MSFT_2,L_PC_MSFT_3,L_PC_NFLX_1,L_PC_NFLX_2,L_PC_NFLX_3,L_PC_NVDA_1,L_PC_NVDA_2,L_PC_NVDA_3,L_PC_QQQ_1,L_PC_QQQ_2,L_PC_QQQ_3,L_PC_SPY_1,L_PC_SPY_2,L_PC_SPY_3,L_PC_TLT_1,L_PC_TLT_2,L_PC_TLT_3,L_PC_TLT_4,L_PC_TLT_5,L_PC_TSLA_1,L_PC_TSLA_2,L_PC_TSLA_3,L_PC_V_1,L_PC_V_2,L_PC_V_3
2020-03-02,0.0005793712950126142,7.894426129226394e-05,0.0017305384794752772,0.999056126314629,0.1710386876470092,0.2542412618199725,0.00477351007998232,0.29267867334815684,0.14303468816982734,0.9968963753650851,0.03991089639721254,0.027837266633975333,0.002783584508723772,0.553532668819147,0.9202081318157188,0.9830782440398228,0.0027198975687879037,0.9037111048296763,0.04674576302515216,0.9979786944322788,0.5130520555671566,0.9335560622450257,0.176382227350259,0.06732490671783925,0.07006442286386642,0.028911514685575117,0.8380187159766586,0.9381657572332284,0.008101123556185957,0.7570394547111614,0.009346370651363269,0.017088246691921057,5.5216439281582024e-05,0.07678329130769154,0.00815823382277208,0.7230387267263761,0.8702951663516615,0.853437312048687,0.9700741707070242,0.9968678128653027,0.9220790062767488,0.17485016687605598,0.9958434114474881,0.006427948711881764,0.5314337196373349,0.9812781881612845,0.05831002449827063,0.02676706307528426
2020-03-03,0.1545877868066242,0.03990048081395295,0.05410815855922084,0.9411474679691946,0.7357543823319611,0.5837463725106696,0.17544878724328117,0.7640251411427926,0.2727186977406807,0.9911806601441542,0.0377172248337131,0.8197218420582647,0.01386065078245518,0.027807572350276893,0.6341534160323091,0.23051932810830034,0.02215496727988408,0.9296270217089257,0.495909383482782,0.9098570806922603,0.6249748995650362,0.3811283124917815,0.648561445723604,0.3792418493911524,0.34884501137759155,0.08537133987857444,0.6020894068271365,0.46525582573982693,0.03279366682640098,0.009248762835222192,0.8394656443541196,0.0003435726866965057,0.9734999224384238,0.7327704980100195,0.9587284596831964,0.9150830948715789,0.5664666100112953,0.13244703975449362,0.04403663709748832,0.9290564031850542,0.9155069697909175,0.1582870572332744,0.9891185418709951,0.7416320570200078,0.618300286668726,0.8619412121547966,0.9863118369838392,0.9424941011458468
2020-03-04,0.8449026344603405,0.8662937452927159,0.7302595938633897,0.26147689623186493,0.2337445804505462,0.3100527472748388,0.8575930956770021,0.13398351601656203,0.7431240538908945,0.03539799033312108,0.8181053206661228,0.41259694573126604,0.7897556386070523,0.8513381660790408,0.22971524353050266,0.9469196259305429,0.8290218378106896,0.12777006819884873,0.11944021165570634,0.12542311424905628,0.4331195659245465,0.3711587350989831,0.7758948467704045,0.6879507075902657,0.7186766697518467,0.8073651826679538,0.8776935074189253,0.2213154434889427,0.6005975888045272,0.9709770928614154,0.7149712956256247,0.8213744587736265,0.45345562422860214,0.318046426742927,0.7379602542015168,0.04906196811871778,0.02811367912510785,0.5459493174682962,0.7865508633281949,0.1777063415679339,0.1655844712723048,0.03831973639603159,0.5064436520448841,0.8410585478888004,0.9598432482363874,0.04131071630460343,0.11615769821498488,0.5329609619907005
2020-03-05,0.9742973539325213,0.7569166163653934,0.5151549278240488,0.2767336800482381,0.3059521359873153,0.6770100499609396,0.6566098496343314,0.2835519475054906,0.5710687290084202,0.8024044922532928,0.039509690739021795,0.022110877455316483,0.6501741487349963,0.5174142320585602,0.3358265979398113,0.30972175283869985,0.5238463968336083,0.5402302681619995,0.5658759506173914,0.24816190328359822,0.6738018350806836,0.37392718145726483,0.08426623189368043,0.7819130866260534,0.5298490252522076,0.7088711067458666,0.1443928294490918,0.6295199500635096,0.8522361362426534,0.9683572790120416,0.9870435770957576,0.5578255747701041,0.48235822016922975,0.7084534746892833,0.6604695667324345,0.627636838173995,0.7927800943194748,0.4493030464716087,0.5090334953400744,0.6621027224889581,0.6320649226439052,0.9379102939293719,0.15722053269247135,0.1545970931679448,0.13503368259996648,0.2587430594435315,0.5879736733955049,0.3237905968899309
2020-03-06,0.9993979638442458,0.8203329721013832,0.06818104695105986,0.021171695470883028,0.7824405760861365,0.48304675169804084,0.6124222350249382,0.08773829530748536,0.716141074448479,0.001028039445716417,0.010900417182275787,0.9905218771817916,0.9856416908744073,0.08065040601639337,0.46238219070501985,0.1836866203496741,0.9890210222441663,0.04246028579813053,0.8445451303910859,0.7950887437909675,0.8313234677732648,0.8194794484301967,0.8746184026399298,0.3020795674930913,0.45687268524657604,0.016705314755820322,0.19106983457591237,0.6089004998589114,0.9813798249634663,0.034308371476203546,0.9077801601704417,0.9178219116078541,0.03565355164371761,0.4375287420853302,0.008629630652832381,0.014934602838749684,0.9977172077893957,0.9994402369353211,0.9179210368284036,0.988108381253667,0.3301534370759816,0.9995909989990627,0.002374672647308901,0.9498214646472738,0.043326526788196124,0.1809628603899773,0.8876206434881758,0.11523507027102621
2020-03-09,0.9982723980614627,0.0029258134225180984,0.129564696592682,0.00478666051656846,0.04706107901467539,0.9729420866080568,0.010514614829296604,0.06637725477167665,0.9528119213922088,0.9382875517555431,0.058567883362828387,0.32914536640512343,0.07177843959668138,0.9747455833866056,0.6945024189665303,0.1657151482850752,0.8337145251048438,0.8352095148995973,0.9034191427709872,0.999949259836249,0.07954384999742366,0.033482631851764595,0.151047607227935,0.4568872195481562,0.5939094208963331,0.008621515031225007,0.921205809115842,0.7727401065274518,0.9507129165769584,0.029106854442082185,0.24853251348686023,0.006143878039799547,0.6423402463115904,0.011230336392066456,0.8157128489058025,0.9864368120428018,0.012113911155469328,0.9762068519463282,0.186760357078116,0.9992792086377632,0.9427118003936061,0.9995872923055888,0.013975021895614084,0.7851697286928353,0.7593389642117765,0.990969840095008,0.1461693241747467,0.9479775194670208
2020-03-10,0.37807012700496867,0.6819647560176795,0.13389235519954124,0.8539636879382839,0.9388465362341384,0.28562460256088895,0.09953653619608081,0.06463970586233515,0.12068531092749941,0.9012325328919892,0.9223605542636721,0.2912430616869171,0.008354541374217539,0.2422594114307109,0.6307886268034405,0.02857847039981753,0.9853143249037232,0.6263110568960927,0.0007097190114883858,0.0429761913664542,0.8294736822626864,0.9806122811987384,0.049052843477294404,0.7385603861801779,0.315976284284536,0.040332942844180486,0.051850528990697455,0.5398492667381312,0.39658078391117674,0.9915008813860867,0.09731587239428549,0.9911148766827104,0.9998038358413246,0.996602981584476,0.9680760035828126,0.015622578429776822,0.71628762336308,0.925309175576793,0.255229276918188,0.1126173061857267,0.7572658154525517,0.4639362975376853,0.7864871807885575,0.33864640886228425,0.1514161330478711,0.08027172307555056,0.7096997866856973,0.33117670272390654
2020-03-11,0.2798314010559829,0.7986774414524921,0.03912648149127434,0.9803494352397306,0.9362904068322127,0.5110391338249372,0.7656529807752271,0.9814302632038884,0.3763427958008702,0.3008805367650211,0.22799393295029552,0.868407765355301,0.057104059143236706,0.0013188041816304843,0.19909174298412374,0.9120097832549073,0.95532532815742,0.4627293744169032,0.9948527169227284,0.6984200568295665,0.4939733699105021,0.19995618330806494,0.7994316921340822,0.793184067825653,0.9146617072969482,0.701978714618325,0.9287194349807435,0.13868050878684068,0.04343460781420163,0.9606770367004069,0.04973456843247063,0.19661886081710356,0.001347609565435001,0.33479672527227233,0.04754965403391548,0.008323570545828886,0.9267913040345088,0.14436478972237446,0.6210189649495226,0.31665636733894825,0.08174073227071356,0.0458005154196088,0.9203360254027779,0.6333794491786272,0.8377105700983277,0.2302761693925232,0.9180009048099049,0.6244840100323177
2020-03-12,0.9994614931479039,0.9262710667152153,0.9999334402509265,3.803480866693652e-05,0.6450069433167124,0.011673932825732683,0.9798799498840427,0.0066202584706474684,0.15883129103742205,0.0030429233823969907,0.9993719900874969,0.04913865680256516,0.9997949601478121,0.9446356732230295,0.061591360355384345,0.030092878622626315,0.9968546024415387,0.0020330985507605688,0.9843560638636597,0.02126716971080461,0.323129151423417,0.21682547522322754,0.07805269889554155,0.6878015926707047,0.5973135719577016,0.9826548028459905,0.05664386403787007,0.48142302814816623,0.9967941349117786,0.12298398038035223,0.9714461834813461,0.9692703552201203,0.9968911857625173,0.0001909434833133985,0.9999807848726171,0.9999698355940763,3.994474758649242e-05,0.8880964651165322,0.11902831697539401,0.15718796478071287,0.3062993712140876,0.5909774145829424,0.0001754334502285549,0.9998449196545623,0.004130266041445968,0.0004925981564357829,0.055992267429559796,0.7243092068216853
2020-03-13,0.7570435024650668,0.8034929980575561,0.01335304962520682,0.9464835323955224,0.019468935867892025,0.9892916959216593,0.7689310709213112,0.2488940787818852,0.8382535642532848,0.04026373287588273,0.595605923162463,0.8054636394923707,0.7258722847561617,0.9820162270327353,0.7302967922295763,0.0557730235661826,0.9905686388530912,0.8875002271194579,0.004139980066738163,0.022242544906062204,0.19192120024432097,0.3865943311647206,0.02546435917347395,0.6435591207757719,0.4926093488445171,0.18930824652473704,0.02597349445986924,0.8708578510072247,0.99756302475415,0.9982620705973859,0.9989367034477847,0.8783174809846612,0.003707488565833951,0.9400161560451412,2.2914437727274533e-05,4.1779677934712295e-05,0.9969221867649041,0.0013849979456284137,0.20681803340866822,0.9450263944677383,0.609200009470085,0.009151595091539271,0.9878329546177116,0.2980827528898658,0.8831690401238255,0.04269687364908126,0.4008263079592995,0.036790828484128985
