Date,Realized_PnL,Vine_VaR,Vine_ES,Vine_Std,Vine_Hit,Indep_VaR,Indep_ES,Indep_Std,Indep_Hit
2025-01-02 12:00:00,853.5226727588533,445.5062268931212,-79.38719747533655,1480.432838002036,0,555.5027133544917,95.89005598603995,876.1822338734868,0
2025-01-03 12:00:00,327.15227665908975,254.92625627662795,-619.2726859895164,2597.392656465723,0,211.52831341860858,-422.56491259355664,876.2257351534465,0
2025-01-06 12:00:00,417.9263242882872,435.48220891762793,-214.95273786493746,1572.7804879639505,1,702.3741410894995,-132.5116179528626,932.8455490649677,1
2025-01-07 12:00:00,527.3686518226668,169.94373937020944,-713.5206797392315,1229.4450157817312,0,83.94614760392565,-830.2575553806927,838.8233570533511,0
2025-01-08 12:00:00,358.3558638275483,180.9056323949596,-602.7293935866633,1103.004680393399,0,150.89691990144033,-488.2841982728363,1009.4135550352269,0
2025-01-10 12:00:00,1650.0912978193867,309.28229868330095,-438.4175314962157,1263.9968018451043,0,426.66771406589976,-116.94802715469565,780.304230201239,0
2025-01-13 12:00:00,1867.109830047692,320.259041464097,-184.30600007189477,1185.74163952956,0,670.98533286389,13.54136750322775,920.7898949030202,0
2025-01-14 12:00:00,233.483193016541,231.6928668764695,-972.4965542356824,1518.7194581585618,0,158.32721171596145,-622.7389444586526,911.5289454547527,0
2025-01-15 12:00:00,883.7460012036245,206.890865981468,-781.8561771043051,1700.6407635176358,0,118.31322201279286,-720.3672331816931,1044.75331165722,0
2025-01-16 12:00:00,313.9979407780184,155.29274929784927,-1228.9191434026257,1557.8028271514754,0,0.39631302793676537,-964.0976583512013,1181.8269467712034,0
2025-01-17 12:00:00,223.16316398129987,73.6983824540221,-1179.6466742966486,1722.4255637350097,0,-11.779574573717975,-1051.3063693969646,1059.654006869799,0
2025-01-21 12:00:00,1210.7560604573428,-28.894978666603574,-648.4876396061092,1977.3134945673169,0,516.7719555558094,23.857088822879867,954.6420165905771,0
2025-01-22 12:00:00,1175.7953441319858,160.33786427255254,-794.5692421379151,1190.8970236991945,0,54.7308115162324,-697.1160399559731,783.4645147822216,0
2025-01-23 12:00:00,382.1468002276538,54.36969500579919,-1081.7393397481317,2039.9395894593065,0,-24.07874080336563,-820.6838719195583,767.5069854889284,0
2025-01-24 12:00:00,282.07862613127656,64.66102202331186,-1076.9658605027737,1489.6380481125611,0,-17.802541796270244,-742.8977311319544,720.5386688131314,0
2025-01-27 12:00:00,-1873.6554161573756,94.71059800863496,-633.6741879806162,1281.9894568767181,1,404.95995102491577,-273.69332464304443,735.2673798816567,1
2025-01-28 12:00:00,972.170350732255,278.46390536638006,-256.93610119123105,1156.2590458491966,0,273.61206498565457,-192.55507715129875,550.880061411843,0
2025-01-29 12:00:00,446.6672120690724,245.27757084018484,-829.2695633943028,1621.12006962025,0,170.99569220314697,-508.18090682589354,1172.754867578549,0
2025-01-30 12:00:00,-265.86905112778254,215.4978653661977,-782.9366001018079,1419.2062385155434,1,147.51365985604224,-563.3288121820053,1014.7990512987299,1
2025-01-31 12:00:00,292.3743628246141,144.85220997842487,-999.9362931228197,1990.5800530881304,0,44.48106207631262,-728.4818651301828,892.0538005057857,0
2025-02-03 12:00:00,1509.708106295108,328.24858370666124,-988.5914652858025,1953.999265388609,0,572.860138448195,-249.21676531370215,969.1514061264406,0
2025-02-04 12:00:00,365.5655807784776,179.20623871191637,-841.1470225920269,1024.4152984215657,0,45.60689983708452,-981.4843991785738,913.0119091640405,0
2025-02-05 12:00:00,298.27852126058986,11.727820533235766,-1698.0857671093622,2551.535087400611,0,-84.69918809377083,-1191.493479182206,1090.269109846041,0
2025-02-06 12:00:00,357.0120876295805,99.42111079868403,-1604.2376383541775,3274.894748264995,0,63.07242953232941,-1015.7591424254468,1488.9020620777205,0
