Edge,Family,Rotation,NLL,AIC,BIC
T2_E51,Bicopfamily.student,0,-183.51400683764635,-213.0280136752927,179.8644367193553
T2_E52,Bicopfamily.gaussian,0,-4.478534296712248,143.0429314065755,530.8328824454487
T2_E53,Indep,0,0.0,0.0,0.0
T2_E54,Bicopfamily.frank,0,-352.69572592805457,-109.39145185610914,1411.1533561647361
T2_E55,Bicopfamily.student,0,11.632758174638596,177.2655163492772,570.1579667439252
T2_E56,Bicopfamily.frank,0,-86.1561475748498,423.6877048503004,1944.2325128711457
T2_E57,Bicopfamily.student,0,2.434465347555908,158.86893069511183,551.7613810897598
T2_E58,Indep,0,0.0,0.0,0.0
T3_E0,Bicopfamily.gumbel,270,-14.31440783982037,7.371184320359259,99.21617272430294
T3_E1,Indep,0,0.0,0.0,0.0
T3_E2,Indep,0,0.0,0.0,0.0
T3_E3,Indep,0,0.0,0.0,0.0
T3_E4,Indep,0,0.0,0.0,0.0
T3_E5,Indep,0,0.0,0.0,0.0
T3_E6,Indep,0,0.0,0.0,0.0
T3_E7,Indep,0,0.0,0.0,0.0
T3_E8,Indep,0,0.0,0.0,0.0
T3_E9,Indep,0,0.0,0.0,0.0
T3_E10,Indep,0,0.0,0.0,0.0
T3_E11,Bicopfamily.student,0,2.1706642856445537,158.3413285712891,551.2337789659371
T3_E12,Indep,0,0.0,0.0,0.0
T3_E13,Indep,0,0.0,0.0,0.0
T3_E14,Indep,0,0.0,0.0,0.0
T3_E15,Indep,0,0.0,0.0,0.0
T3_E16,Bicopfamily.student,0,8.636522982458798,171.2730459649176,564.1654963595656
T3_E17,Bicopfamily.student,0,4.364973909673395,162.7299478193468,555.6223982139948
T3_E18,Bicopfamily.gumbel,0,1.23013986555278,38.46027973110556,130.30526813504923
T3_E19,Indep,0,0.0,0.0,0.0
T3_E20,Indep,0,0.0,0.0,0.0
T3_E21,Bicopfamily.student,0,-15.031696314073397,123.9366073718532,516.8290577665013
T3_E22,Bicopfamily.clayton,180,-29.86969626665768,536.2606074666846,2056.80541548753
T3_E23,Indep,0,0.0,0.0,0.0
T3_E24,Bicopfamily.student,0,-133.28733606240678,-112.57467212481356,280.31777826983443
T3_E25,Bicopfamily.frank,0,-187.1055162716677,221.78896745666458,1742.3337754775098
T3_E26,Indep,0,0.0,0.0,0.0
T3_E27,Bicopfamily.student,0,-4.856620094543708,144.28675981091257,537.1792102055606
T3_E28,Indep,0,0.0,0.0,0.0
T3_E29,Bicopfamily.gaussian,0,-0.3943686802608726,151.21126263947826,539.0012136783515
T3_E30,Bicopfamily.gaussian,0,-0.16394916201208404,151.67210167597582,539.462052714849
T3_E31,Indep,0,0.0,0.0,0.0
T3_E32,Indep,0,0.0,0.0,0.0
T3_E33,Bicopfamily.student,0,-276.7324550136585,-399.46491002731705,-6.572459632669052
T3_E34,Bicopfamily.student,0,-36.54887363377048,80.90225273245905,473.794703127107
T3_E35,Indep,0,0.0,0.0,0.0
T3_E36,Bicopfamily.clayton,90,0.5791305876760876,597.1582611753522,2117.7030691961972
T3_E37,Bicopfamily.gaussian,0,-132.14477304779768,-112.28954609559537,275.5004049432779
T3_E38,Bicopfamily.clayton,90,0.2702834152657253,596.5405668305315,2117.085374851377
T3_E39,Bicopfamily.student,0,-10.04562035095602,133.90875929808797,526.8012096927359
T3_E40,Indep,0,0.0,0.0,0.0
T3_E41,Indep,0,0.0,0.0,0.0
T3_E42,Indep,0,0.0,0.0,0.0
T3_E43,Bicopfamily.gaussian,0,-2.884726638945711,146.23054672210858,534.0204977609818
T3_E44,Bicopfamily.student,0,10.113912175157186,174.22782435031436,567.1202747449623
T3_E45,Bicopfamily.gumbel,270,-3.847770882401649,28.3044582351967,120.14944663914038
T3_E46,Bicopfamily.frank,0,-49.740874171524226,496.5182516569515,2017.063059677797
T3_E47,Bicopfamily.student,0,-27.561201728943352,98.8775965421133,491.7700469367613
